Date;CountryName;Covid;Corona;Sum
2019-12-22;United Kingdom;0;0;0.00
2019-12-29;United Kingdom;0;0;0.00
2020-01-05;United Kingdom;0;0;0.00
2020-01-12;United Kingdom;0;0;0.00
2020-01-19;United Kingdom;0;2;1.30
2020-01-26;United Kingdom;0;10;6.49
2020-02-02;United Kingdom;0;7;4.55
2020-02-09;United Kingdom;0;9;5.84
2020-02-16;United Kingdom;0;5;3.25
2020-02-23;United Kingdom;2;19;13.64
2020-03-01;United Kingdom;6;33;25.32
2020-03-08;United Kingdom;22;70;59.74
2020-03-15;United Kingdom;54;100;100.00
2020-03-22;United Kingdom;68;79;95.45
2020-03-29;United Kingdom;54;46;64.94
2020-04-05;United Kingdom;51;36;56.49
2020-04-12;United Kingdom;41;24;42.21
2020-04-19;United Kingdom;39;20;38.31
2020-04-26;United Kingdom;39;17;36.36
2020-05-03;United Kingdom;38;15;34.42
2020-05-10;United Kingdom;45;14;38.31
2020-05-17;United Kingdom;39;12;33.12
2020-05-24;United Kingdom;37;10;30.52
2020-05-31;United Kingdom;36;10;29.87
2020-06-07;United Kingdom;34;8;27.27
2020-06-14;United Kingdom;36;8;28.57
2020-06-21;United Kingdom;36;8;28.57
2020-06-28;United Kingdom;41;7;31.17
2020-07-05;United Kingdom;36;6;27.27
2020-07-12;United Kingdom;38;6;28.57
2020-07-19;United Kingdom;36;6;27.27
2020-07-26;United Kingdom;43;7;32.47
2020-08-02;United Kingdom;41;6;30.52
2020-08-09;United Kingdom;41;6;30.52
2020-08-16;United Kingdom;41;5;29.87
2020-08-23;United Kingdom;39;5;28.57
2020-08-30;United Kingdom;44;5;31.82
2020-09-06;United Kingdom;71;8;51.30
2020-09-13;United Kingdom;81;8;57.79
2020-09-20;United Kingdom;86;8;61.04
2020-09-27;United Kingdom;70;7;50.00
2020-10-04;United Kingdom;71;7;50.65
2020-10-11;United Kingdom;94;7;65.58
2020-10-18;United Kingdom;73;6;51.30
2020-10-25;United Kingdom;74;6;51.95
2020-11-01;United Kingdom;61;5;42.86
2020-11-08;United Kingdom;60;5;42.21
2020-11-15;United Kingdom;56;4;38.96
2020-11-22;United Kingdom;65;4;44.81
2020-11-29;United Kingdom;58;4;40.26
2020-12-06;United Kingdom;65;4;44.81
2020-12-13;United Kingdom;92;5;62.99
2019-12-22;France;0;0;0.00
2019-12-29;France;0;0;0.00
2020-01-05;France;0;0;0.00
2020-01-12;France;0;0;0.00
2020-01-19;France;0;1;0.98
2020-01-26;France;0;3;2.94
2020-02-02;France;0;2;1.96
2020-02-09;France;0;1;0.98
2020-02-16;France;0;1;0.98
2020-02-23;France;2;9;10.78
2020-03-01;France;4;13;16.67
2020-03-08;France;12;22;33.33
2020-03-15;France;33;30;61.76
2020-03-22;France;34;17;50.00
2020-03-29;France;31;11;41.18
2020-04-05;France;30;8;37.25
2020-04-12;France;29;6;34.31
2020-04-19;France;27;5;31.37
